tag	název	kategorie	vysvětlivka			
168hodin	168 hodin	Média	publicistický pořad České televize			
adamova	Markéta Adamová	Politika	politička (TOP 09)			
akademici	akademici	Společnost	akademická obec a vysoké školy			?
aktivisti	aktivisti	Společnost	aktivní občané			?
aktualne.cz	Aktuálně.cz	Média	zpravodajský server vydavatelství Economia			
alexej kelin	Alexej Kelin	Společnost	historik a zástupce ruské menšiny v ČR			
alexandr mitrofanov	Alexandr Mitrofanov	Média	komentátor deníku Právo			
alrawi	Muneeb Hassan Alrawi	Společnost	předseda Ústředí muslimských obcí			
andrej babis	Andrej Babiš	Politika	vicepremiér vlády, ministr financí a šéf hnutí ANO			
andrej kiska	Andrej Kiska	Politika	prezident Slovenské republiky			
andrew shapiro	Andrew Schapiro	Politika	velvyslanec USA v ČR			
angela merkelova	Angela Merkelová	Politika	kancléřka Německé spolkové republiky			
anna sabatova	Anna Šabatová	Politika	ombudsmanka			
ano	hnutí ANO	Politika	politická strana Andreje Babiše			
antonin kolacek	Antonín Koláček	Společnost	český manažer a podnikatel, který se podílel na privatizaci Mostecké uhelné			
barbora zpevackova	Barbora Zpěváčková	Média	redaktorka serveru Novinky.cz			
blesk.cz	Blesk.cz	Média	internetový server deníku Blesk			
bohuslav sobotka	Bohuslav Sobotka	Politika	premiér ČR a šéf ČSSD			
borgis	Borgis	Média	vydavatelství deníku Právo			?
cervena karta	červená karta	Společnost	červené karty symbolizují protest proti prezidentovi Miloši Zemanovi			?
cervene trenky	červené trenky	Společnost	umělci ze Ztohoven vyvěsili trenky nad Hrad na protest proti prezidentovi			?
ceska televize	Česká televize	Média	veřejnoprávní médium			
cirkev	církev	Společnost	církev			
cssd	ČSSD	Politika	Česká strana sociálně demokratická			
ctk	ČTK	Média	Česká tisková kancelář			
cvvm	CVVM	Média	Centrum pro výzkum veřejného mínění			
dalajlama	dalajlama	Společnost	tibetský duchovní			
daniel herman	Daniel Herman	Politika	ministr kultury (KDU-ČSL)			
daniela drtinova	Daniela Drtinová	Média	moderátorka DVTV			
david klimes	David Klimeš	Média	komentátor Hospodářských novin			
david koller	David Koller	Společnost	zpěvák			
denik referendum	Deník Referendum	Média	levicově zaměřený internetový server			
dolejs	Jiří Dolejš	Politika	politik (KSČM)			
doubrava	Jaroslav Doubrava	Politika	senátor (Severočeši.cz)			
druha republika	druhá republika	Společnost	politický systém ČSR od roku 1938 do 1939			?
dvtv	DVTV	Média	internetový publicistický pořad			
economia	Economia	Média	vydavatelství vlastněné podnikatelem Zdeňkem Bakalou			?
echo24.cz	Echo24.cz	Média	názorový internetový server			
elity	elity	Společnost				?
erik tabery	Erik Tabery	Média	šéfredaktor týdeníku Respekt			
eu	Evropská unie	Politika	politická a ekonomická unie			
evropske hodnoty	Evropské hodnoty	Společnost	česká politická nevládní nezisková organizace			
fasizace	fašizace	Společnost				?
ferdinand peroutka	Ferdinand Peroutka	Společnost	významný český spisovatel, dramatik a publicista			
filozofická fakulta	Filozofická fakulta Univerzity Karlovy	Společnost	Filozofická fakulta Univerzity Karlovy			
forum2000	Forum 2000	Společnost	konference o lidských právech			
petr gazdik	Petr Gazdík	Politika	politik a předseda (STAN)			
tomas halik	Tomáš Halík	Společnost	vysokoškolský pedagog a teolog			
hatefree	HateFree Culture	Společnost	vládní iniciativa proti nenávisti			
helmut zilk	Helmut Zilk	Společnost	rakouský novinář a politik			
hn	Hospodářské noviny	Média	deník vydavatelství Economia			
husan na provazku	Divadlo Husa na provázku	Společnost	divadlo v Brně			
idealiste.cz	Idealisté.cz	Společnost	samostatný spolek sociálnědemokratické orientace			
idnes.cz	iDNES.cz	Média	zpravodajský server vydavatelství Mafra			
igor sevcov	Igor Ševcov	Společnost	ruský anarchista žijící v Česku			
islam	islám	Společnost	náboženství			?
ivan ostadal	Ivan Ošťádal	Společnost	docent z Univerzity Karlovy			
jakub hein	Jakub Hein	Společnost	aktivista			
jakub janda	Jakub Janda	Společnost	zaměstnanec neziskovky Evropské hodnoty			
jakub zelenka	Jakub Zelenka	Média	novinář serveru Lidovky.cz			
jan cemper	Jan Cemper	Společnost	aktivista zabývající se uprchlickou tematikou			
jan drazan	Jan Dražan	Média	novinář serveru Echo24.cz			
jan eichler	Jan Eichler	Společnost	výzkumný pracovník Ústavu mezinárodních vztahů			
jan kasl	Jan Klas	Společnost	ředitel Řízení letového provozu			
jan latal	Jan Látal	Společnost	český dokumentární režisér			
jan lipold	Jan Lipold	Média	komentátor serveru Aktuálně.cz			
jan rejzek	Jan Rejžek	Média	filmový kritik			
jan vrobel	Jan Vrobel	Společnost	aktivista			
jaromir stetina	Jaromír Štětina	Politika	europoslanec za TOP 09			
jiri brady	Jiří Brady	Společnost	podnikatel žijící v Kanadě, který přežil koncentrační tábory			
jiri dienstbier	Jiří Dienstbier mladší	Politika	ministr bez portfeje (ČSSD), má na starosti lidská práva			
jiri fajt	Jiří Fajt	Společnost	ředitel Národní galerie			
jiri ovcacek	Jiří Ovčáček	Společnost	mluvčí prezidenta republiky			
jiri stastny	Jiří Šťastný	Média	editor serveru Lidovky.cz			
jiři grygar	Jiří Grygar	Společnost	český astronom a fyzik			
john kerry	John Kerry	Politika	ministr zahraničí Spojených států			
jurecka	Marian Jurečka	Politika	ministr zemědělství (KDU-ČSL)			
justice	justice	Společnost	soudy, soudci, advokáti			?
kamil svec	Kamil Švec	Společnost	politolog			
karel schwarzenberg	Karel Schwarzenberg	Politika	politik a neúspěšný prezidentský kandidát (TOP 09)			
kdu-csl	KDU-ČSL	Politika	politická strana			
klara vytiskova	Klára Vytisková	Společnost	zpěvačka a moderátorka			
klinika	Klinika	Společnost	autonomní kulturní centrum v Praze			
kromerizska vyzva	Kroměřížská výzva	Politika	platforma hledající prezidentského kandidáta			
laudat	František Laudát	Politika	předseda pražské organizace TOP 09			
lenka dusilova	Lenka Dusilová	Společnost	zpěvačka			
les	Liberálně ekologická strana	Politika	politická strana Martina Bursíka			
lidove noviny	Lidové noviny	Média	deník vydavatelství Mafra			
lidovky.cz	Lidovky.cz	Média	zpravodajský server Lidových novin			
lucie tykalova	Lucie Tykalová	Společnost	pražská učitelka			
lukas dolansky	Lukáš Dolanský	Média	moderátor České televize			
mafra	Mafra	Média	vydavatelství vlastněné Andrejem Babišem			?
marek eben	Marek Eben	Společnost	moderátor a herec			
marek zenisek	Marek Ženíšek	Politika	první místopředseda TOP 09			
martin bursik	Martin Bursík	Politika	šéf politické strany LES			
martin groman	Martin Groman	Média	moderátor České televize			
martin veselovsky	Martin Veselovský	Média	moderátor DVTV			
masarykova univerzita	Masarykova univerzita	Instituce	univerzita v Brně			
matej hollan	Matěj Hollan	Politika	brněnský politik (Žít Brno)			
mestske divadlo ve zline	Městské divadlo ve Zlíně	Společnost	zlínské divadlo			
mf dnes	MF DNES	Média	deník vydavatelství Mafra			
migrace	migrace a uprchlická krize	Společnost	uprchlická krize			?
michal horacek	Michal Horáček	Politika	kandidát na prezidenta ČR			
michal kuzmiak	Michal Kuzmiak	Politika	lobbista			
michal pavlicek	Michal Pavlíček	Společnost	hudební skladatel a zpěvák			
mikulas vymetal	Mikuláš Vymětal	Společnost	evangelický farář			
milan chovanec	Milan Chovanec	Politika	ministr vnitra (ČSSD)			
milan steindler	Milan Šteindler	Společnost	herec a humorista			
miroslav kalousek	Miroslav Kalousek	Politika	politik a předseda TOP 09			
moravec	Václav Moravec	Média	moderátor České televize			
msmt	Ministerstvo školství, mládeže a tělovýchovy	Instituce				
nadija savcenkova	Nadija Savčenková	Politika	ukrajinská pilotka a politička			
nemecko	Spolková republika Německo	Politika	země sousedící s ČR			
new york	New York	Společnost				
neziskovky	neziskovky	Společnost	neziskové organizace, které prezident kritizuje			
nikola klevcova	Nikola Klevcová	Společnost	mluvčí spolku Podhradí			
novinky.cz	Novinky.cz	Média	zpravodajský server			
ods	ODS	Politika	Občanská demokratická strana			
oleg vorotnikov	Oleg Vorotnikov	Společnost	ruský disident a umělec			
ondrej kolar	Ondřej Kolář	Politika	starosta Prahy 6			
ondrej mazura	Ondřej Mazura	Média	aktivista a fotograf Deníku Referendum			
ondrej zamazal	Ondřej Zamazal	Média	redaktor a komentátor České televize			
osn	OSN	Společnost	Organizace spojených národů			
oto novotny	Oto Novotný	Politika	poradce premiéra Bohuslava Sobotky			
paralelni polis	Paralelní polis	Společnost	kavárna skupiny Ztohoven			
pavel cerny	Pavel Černý	Společnost	bezpečnostní expert			
pavel dostal	Pavel Dostál	Politika	porevoluční politik			
pavel safr	Pavel Šafr	Média	šéfredaktor Svobodného fóra			
petr dvorak	Petr Dvořák	Média	generální ředitel České televize			
petr honzejk	Petr Honzejk	Média	komentátor Hospodářských novin			
petr pithart	Petr Pithart	Společnost	porevoluční politik			
petr vokral	Petr Vokřál	Politika	primátor Brna (ANO)			
petr zidek	Petr Zídek	Média	historik a novinář v Lidových novinách			
pirati	Česká pirátská strana	Politika	politická strana			
podhradi	Podhradí	Společnost	spolek Podhradí			
politici	politici	Politika	všeobecné urážky politiků			
pospisil	Jiří Pospíšil	Politika	europoslanec (TOP 09)			
pravo	Právo	Média	deník vydavatelství Borgis			
prazska kavarna	pražská kavárna	Společnost	údajná opozice proti prezidentovi			
pussy riot	Pussy Riot	Společnost	ruské umělkyně			
reporteri ct	Reportéři ČT	Média	investigativní pořad České televize			
respekt	Respekt	Média	týdeník vydavatelství Economia			
rizeni letoveho provozu	Řízení letového provozu	Instituce	státní podnik			
rrtv	Rada pro rozhlasové a televizní vysílání	Instituce	orgán zřízený zákonem			
senat	Senát	Instituce	horní komora parlamentu			
senatori	senátoři	Politika	zasedají v Senátu			
skala	Josef Skála	Politika	politik (KSČM)			
skauti	skauti	Společnost	celosvětové hnutí			
strana zelenych	Strana zelených	Politika	politická strana			
studenti	studenti	Společnost				
sudetcti nemci	sudetští Němci	Společnost				?
svobodne forum	Svobodné fórum	Média	názorový server			
terezie kaslova	Terezie Kaslová	Společnost	vnučka Ferdinanda Peroutky			
tibet	Tibet	Společnost	země okupovaná Čínou			
tn.cz	TN.cz	Média	zpravodajský server televize Nova			?
tns aisa	TNS Aisa	Média	agentura			?
tomas prouza	Tomáš Prouza	Politika	státní tajemník pro evropské záležitosti			
tomas tomanek	Tomáš Tománek	Média	redaktor Lidových novin			
tomasz peszynski	Tomasz Peszynski	Společnost	aktivista			
top09	TOP 09	Politika	politická strana			
udalosti komentare	Události, komentáře	Média	publicistický pořad České televize			
ukrajina	Ukrajina	Politika	země sousedící s Ruskem			
umelci	umělci	Společnost	umělci vystupující proti prezidentovi			
unicef	UNICEF	Společnost	Dětský fond Organizace spojených národů 			
univerzita karlova	Univerzita Karlova	Instituce	univerzita v Praze			
usa	USA	Politika				?
vaclav havel	Václav Havel	Politika	bývalý prezident			
vaclav klaus	Václav Klaus	Politika	bývalý prezident			
vlada	vláda	Politika				?
vojtech gibis	Vojtěch Gibiš	Média	editor serveru Lidovky.cz			
werner imhof	Werner Imhof	Společnost	německý historik, který vrátil medaili za zásluhy			
zaid husajn	Zaíd bin Ra’ad al-Husajn	Společnost	komisař pro lidská práva OSN			
zdenek bakala	Zdeněk Bakala	Společnost	podnikatel a miliardář			
zdenek sarapatka	Zdeněk Šarapatka	Média	novinář a komentátor Svobodného fóra			
zit brno	Žít Brno	Politika	politické hnutí v Brně			
ztohoven	Ztohoven	Společnost	umělecká skupina			
mzv	Ministerstvo zahraničních věcí	Instituce	ministerstvo pod vedením Lubomíra Zaorálka (ČSSD)			